# Cath codes,,,,,
# uniserid,spsindex,spsdes,codval,codmea,codschdes
11910^Venogram^99IHE,119101,XRF: Venogram,911910,XRF: Venogam,99IHE
11950^Upper GI^99IHE,119501,XRF: Upper GI,911950,XRF: Upper GI,99IHE
12010^Magnetic Resonance Imaging: Left Knee^99IHE,135,MR: Left Knee,912010,MR: Left Knee,99IHE
12050^Magnetic Resonance Imaging: Back^99IHE,136,MR: Back,912050,MR: Back,99IHE
12110^Radiological Examination: Right Hand^99IHE,137,DX: Hand R,912110,DX: Hand R,99IHE
12150^Radiological Examination: Right Wrist^99IHE,138,DX: Wrist R,912150,DX: Wrist R,99IHE
12510^Magnetic Resonance Imaging: Brain^99IHE,139,MR: Brain,912510,MR: Brain,99IHE
13110^CD/DVD Import^99IHE,140,CD/DVD Import,13110,CD/DVD Import,99IHE
13120^Scanned Film Import^99IHE,141,Scanned Film Import,13120,Scanned Film Import,99IHE
13130^Scanned Document Import^99IHE,142,Scanned Document Import,13130,Scanned Document Import,99IHE
13140^Network Import^99IHE,143,Network Import,13140,Network Import,99IHE
16110^DEXA Exam: AP Spine^99IHE,144,OT: AP Spine,916110,OT: AP Spine,99IHE
16150^DEXA Exam: Left Femur^99IHE,145,OT: Left Femur,916150,OT: Left Femur,99IHE
16151^DEXA Exam: Right Femur^99IHE,146,OT: Right Femur,916151,OT: Right Femur,99IHE
16210^Magnetic Resonance Imaging: Ankle^99IHE,147,MR: Ankle,916210,MR: Ankle,99IHE
16310^Dynamic - Renalgram^99IHE,148,NM: Renalgram,916310,NM: Renalgram,99IHE
16350^Gated Spect - Cardiac Gated Spect^99IHE,149,NM: Cardiac Gated Spect,916350,NM: Cardiac Gated Spect,99IHE
16370^Spect - Bone Spect^99IHE,150,NM: Bone Spect,916370,NM: Bone Spect,99IHE
16410^Radiological Examination: Ankle^99IHE,151,CR: Ankle,916410,CR: Ankle,99IHE
17110^RF Examination: Stomach^99IHE,152,RF: Stomach,917110,RF: Stomach,99IHE
17130^RF Examination: Colon^99IHE,153,RF: Colon,917130,RF: Colon,99IHE
18110^Angiography: Diagnostic Catheterization^99IHE,154,Diagnostic Catheterization,XX-40041,Diag Cath,99IHE
18111^Angiography: Therapeutic Catheterization^99IHE,155,Therapeutic Catheterization,XX-40061,Therapeutic Cath,99IHE
19110^Electrophysiology: Diagnostic ECG^99IHE,156,Diagnostic ECG,XX-40081,Diag ECG,99IHE
20110^Group Test^99IHE,157,Group Test SPS1,P1_A1,SP Action Item P1_A1,99IHE
20110^Group Test^99IHE,158,Group Test SPS2,P2_A1,SP Action Item P2_A1,99IHE
